func	kind	prec	M	N	time[sec]
convert(COO,CRS)	CRS	float	10000	10000	0.00654471
convert(COO,CRS)	CRS	float	20000	20000	0.0122548
convert(COO,CRS)	CRS	float	30000	30000	0.023245
convert(COO,CRS)	CRS	float	40000	40000	0.0300857
convert(COO,CRS)	CRS	float	50000	50000	0.0382679
convert(COO,CRS)	CRS	float	60000	60000	0.0460385
convert(COO,CRS)	CRS	float	70000	70000	0.0531756
convert(COO,CRS)	CRS	float	80000	80000	0.0598032
convert(COO,CRS)	CRS	float	90000	90000	0.067362
convert(COO,CRS)	CRS	float	100000	100000	0.0751604
convert(COO,CRS)	CRS	double	10000	10000	0.00498193
convert(COO,CRS)	CRS	double	20000	20000	0.0133851
convert(COO,CRS)	CRS	double	30000	30000	0.0282137
convert(COO,CRS)	CRS	double	40000	40000	0.0385974
convert(COO,CRS)	CRS	double	50000	50000	0.0470069
convert(COO,CRS)	CRS	double	60000	60000	0.0623348
convert(COO,CRS)	CRS	double	70000	70000	0.0717379
convert(COO,CRS)	CRS	double	80000	80000	0.0819996
convert(COO,CRS)	CRS	double	90000	90000	0.092488
convert(COO,CRS)	CRS	double	100000	100000	0.101946
