func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	Dense	float	1000	1000	1000	0.00843654	237.064
matmul(Dense,Dense,Dense)	Dense	float	1500	1500	1500	0.0048328	1396.71
matmul(Dense,Dense,Dense)	Dense	float	2000	2000	2000	0.00918981	1741.06
matmul(Dense,Dense,Dense)	Dense	float	2500	2500	2500	0.0156007	2003.11
matmul(Dense,Dense,Dense)	Dense	float	3000	3000	3000	0.0257275	2098.92
matmul(Dense,Dense,Dense)	Dense	float	3500	3500	3500	0.0412319	2079.7
matmul(Dense,Dense,Dense)	Dense	float	4000	4000	4000	0.060836	2104.02
matmul(Dense,Dense,Dense)	Dense	float	4500	4500	4500	0.0885752	2057.57
matmul(Dense,Dense,Dense)	Dense	float	5000	5000	5000	0.122198	2045.87
matmul(Dense,Dense,Dense)	Dense	double	1000	1000	1000	0.0277915	71.9643
matmul(Dense,Dense,Dense)	Dense	double	1500	1500	1500	0.0878569	76.8295
matmul(Dense,Dense,Dense)	Dense	double	2000	2000	2000	0.207586	77.0764
matmul(Dense,Dense,Dense)	Dense	double	2500	2500	2500	0.403793	77.3912
matmul(Dense,Dense,Dense)	Dense	double	3000	3000	3000	0.678646	79.5702
matmul(Dense,Dense,Dense)	Dense	double	3500	3500	3500	1.08542	79.0019
matmul(Dense,Dense,Dense)	Dense	double	4000	4000	4000	1.61496	79.2588
matmul(Dense,Dense,Dense)	Dense	double	4500	4500	4500	2.30464	79.0797
matmul(Dense,Dense,Dense)	Dense	double	5000	5000	5000	3.16659	78.9492
