func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,CRS,Dense)	CRS	float	1000	1000	1000	0.00279868	57.8845
matmul(Dense,CRS,Dense)	CRS	float	1500	1500	1500	0.00633461	57.5411
matmul(Dense,CRS,Dense)	CRS	float	2000	2000	2000	0.0112194	57.7571
matmul(Dense,CRS,Dense)	CRS	float	2500	2500	2500	0.0203714	49.702
matmul(Dense,CRS,Dense)	CRS	float	3000	3000	3000	0.0289677	50.332
matmul(Dense,CRS,Dense)	CRS	double	1000	1000	1000	0.0144512	11.2101
matmul(Dense,CRS,Dense)	CRS	double	1500	1500	1500	0.0317668	11.4742
matmul(Dense,CRS,Dense)	CRS	double	2000	2000	2000	0.0532414	12.171
matmul(Dense,CRS,Dense)	CRS	double	2500	2500	2500	0.0844075	11.9954
matmul(Dense,CRS,Dense)	CRS	double	3000	3000	3000	0.122109	11.9402
