func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	Dense	float	1000	1000	1000	0.00574624	348.054
matmul(Dense,Dense,Dense)	Dense	float	1500	1500	1500	0.013279	508.32
matmul(Dense,Dense,Dense)	Dense	float	2000	2000	2000	0.031288	511.379
matmul(Dense,Dense,Dense)	Dense	float	2500	2500	2500	0.0615201	507.964
matmul(Dense,Dense,Dense)	Dense	float	3000	3000	3000	0.104483	516.829
matmul(Dense,Dense,Dense)	Dense	float	3500	3500	3500	0.164464	521.391
matmul(Dense,Dense,Dense)	Dense	float	4000	4000	4000	0.238913	535.761
matmul(Dense,Dense,Dense)	Dense	float	4500	4500	4500	0.331248	550.192
matmul(Dense,Dense,Dense)	Dense	float	5000	5000	5000	0.451489	553.723
matmul(Dense,Dense,Dense)	Dense	double	1000	1000	1000	0.00942376	212.229
matmul(Dense,Dense,Dense)	Dense	double	1500	1500	1500	0.0283898	237.762
matmul(Dense,Dense,Dense)	Dense	double	2000	2000	2000	0.0628995	254.374
matmul(Dense,Dense,Dense)	Dense	double	2500	2500	2500	0.116171	268.999
matmul(Dense,Dense,Dense)	Dense	double	3000	3000	3000	0.197491	273.431
matmul(Dense,Dense,Dense)	Dense	double	3500	3500	3500	0.307702	278.679
matmul(Dense,Dense,Dense)	Dense	double	4000	4000	4000	0.453599	282.188
matmul(Dense,Dense,Dense)	Dense	double	4500	4500	4500	0.662378	275.145
matmul(Dense,Dense,Dense)	Dense	double	5000	5000	5000	0.911396	274.304
