func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,CRS,Dense)	CRS	float	1000	1000	1000	0.738608	0.219331
matmul(Dense,CRS,Dense)	CRS	float	1500	1500	1500	1.74555	0.208817
matmul(Dense,CRS,Dense)	CRS	float	2000	2000	2000	3.6018	0.17991
matmul(Dense,CRS,Dense)	CRS	float	2500	2500	2500	5.73879	0.176431
matmul(Dense,CRS,Dense)	CRS	float	3000	3000	3000	8.24103	0.17692
matmul(Dense,CRS,Dense)	CRS	double	1000	1000	1000	0.84385	0.191977
matmul(Dense,CRS,Dense)	CRS	double	1500	1500	1500	2.15094	0.169461
matmul(Dense,CRS,Dense)	CRS	double	2000	2000	2000	4.02185	0.16112
matmul(Dense,CRS,Dense)	CRS	double	2500	2500	2500	6.48682	0.156086
matmul(Dense,CRS,Dense)	CRS	double	3000	3000	3000	9.19205	0.158615
