func	kind	prec	M	N	time[sec]
convert(COO,CRS)	CRS	float	10000	10000	0.0038937
convert(COO,CRS)	CRS	float	20000	20000	0.00789749
convert(COO,CRS)	CRS	float	30000	30000	0.0100339
convert(COO,CRS)	CRS	float	40000	40000	0.0130668
convert(COO,CRS)	CRS	float	50000	50000	0.0219959
convert(COO,CRS)	CRS	float	60000	60000	0.0283329
convert(COO,CRS)	CRS	float	70000	70000	0.0326791
convert(COO,CRS)	CRS	float	80000	80000	0.0372909
convert(COO,CRS)	CRS	float	90000	90000	0.0407918
convert(COO,CRS)	CRS	float	100000	100000	0.0438635
convert(COO,CRS)	CRS	double	10000	10000	0.00375264
convert(COO,CRS)	CRS	double	20000	20000	0.00682412
convert(COO,CRS)	CRS	double	30000	30000	0.0134152
convert(COO,CRS)	CRS	double	40000	40000	0.0232185
convert(COO,CRS)	CRS	double	50000	50000	0.0279456
convert(COO,CRS)	CRS	double	60000	60000	0.0392113
convert(COO,CRS)	CRS	double	70000	70000	0.0436686
convert(COO,CRS)	CRS	double	80000	80000	0.0485809
convert(COO,CRS)	CRS	double	90000	90000	0.0545377
convert(COO,CRS)	CRS	double	100000	100000	0.0599591
