func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	Dense	float	1000	1000	1000	0.00827739	241.622
matmul(Dense,Dense,Dense)	Dense	float	1500	1500	1500	0.00483869	1395.01
matmul(Dense,Dense,Dense)	Dense	float	2000	2000	2000	0.00918549	1741.88
matmul(Dense,Dense,Dense)	Dense	float	2500	2500	2500	0.016135	1936.78
matmul(Dense,Dense,Dense)	Dense	float	3000	3000	3000	0.0259695	2079.36
matmul(Dense,Dense,Dense)	Dense	float	3500	3500	3500	0.0414117	2070.67
matmul(Dense,Dense,Dense)	Dense	float	4000	4000	4000	0.0615272	2080.38
matmul(Dense,Dense,Dense)	Dense	float	4500	4500	4500	0.0904737	2014.4
matmul(Dense,Dense,Dense)	Dense	float	5000	5000	5000	0.123443	2025.23
matmul(Dense,Dense,Dense)	Dense	double	1000	1000	1000	0.0279317	71.6032
matmul(Dense,Dense,Dense)	Dense	double	1500	1500	1500	0.0885006	76.2707
matmul(Dense,Dense,Dense)	Dense	double	2000	2000	2000	0.208947	76.5744
matmul(Dense,Dense,Dense)	Dense	double	2500	2500	2500	0.406494	76.8768
matmul(Dense,Dense,Dense)	Dense	double	3000	3000	3000	0.682931	79.0709
matmul(Dense,Dense,Dense)	Dense	double	3500	3500	3500	1.09289	78.4617
matmul(Dense,Dense,Dense)	Dense	double	4000	4000	4000	1.62515	78.762
matmul(Dense,Dense,Dense)	Dense	double	4500	4500	4500	2.31937	78.5774
matmul(Dense,Dense,Dense)	Dense	double	5000	5000	5000	3.18851	78.4064
