func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	Dense	float	1000	1000	1000	0.00819672	244
matmul(Dense,Dense,Dense)	Dense	float	1500	1500	1500	0.0262502	257.141
matmul(Dense,Dense,Dense)	Dense	float	2000	2000	2000	0.0623816	256.486
matmul(Dense,Dense,Dense)	Dense	float	2500	2500	2500	0.119639	261.202
matmul(Dense,Dense,Dense)	Dense	float	3000	3000	3000	0.213842	252.523
matmul(Dense,Dense,Dense)	Dense	float	3500	3500	3500	0.350829	244.421
matmul(Dense,Dense,Dense)	Dense	float	4000	4000	4000	0.487812	262.396
matmul(Dense,Dense,Dense)	Dense	float	4500	4500	4500	0.693558	262.776
matmul(Dense,Dense,Dense)	Dense	float	5000	5000	5000	0.972572	257.05
matmul(Dense,Dense,Dense)	Dense	double	1000	1000	1000	0.0159962	125.029
matmul(Dense,Dense,Dense)	Dense	double	1500	1500	1500	0.0540611	124.859
matmul(Dense,Dense,Dense)	Dense	double	2000	2000	2000	0.126888	126.095
matmul(Dense,Dense,Dense)	Dense	double	2500	2500	2500	0.24813	125.942
matmul(Dense,Dense,Dense)	Dense	double	3000	3000	3000	0.427168	126.414
matmul(Dense,Dense,Dense)	Dense	double	3500	3500	3500	0.684129	125.342
matmul(Dense,Dense,Dense)	Dense	double	4000	4000	4000	1.01288	126.373
matmul(Dense,Dense,Dense)	Dense	double	4500	4500	4500	1.44493	126.131
matmul(Dense,Dense,Dense)	Dense	double	5000	5000	5000	1.97432	126.626
