func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,CRS,Dense)	CRS	float	1000	1000	1000	0.0351302	4.61141
matmul(Dense,CRS,Dense)	CRS	float	1500	1500	1500	0.0513076	7.10421
matmul(Dense,CRS,Dense)	CRS	float	2000	2000	2000	0.102372	6.32986
matmul(Dense,CRS,Dense)	CRS	float	2500	2500	2500	0.134163	7.54681
matmul(Dense,CRS,Dense)	CRS	float	3000	3000	3000	0.168366	8.65972
matmul(Dense,CRS,Dense)	CRS	double	1000	1000	1000	0.0360518	4.49353
matmul(Dense,CRS,Dense)	CRS	double	1500	1500	1500	0.0587943	6.19958
matmul(Dense,CRS,Dense)	CRS	double	2000	2000	2000	0.0839371	7.72006
matmul(Dense,CRS,Dense)	CRS	double	2500	2500	2500	0.113171	8.94665
matmul(Dense,CRS,Dense)	CRS	double	3000	3000	3000	0.143764	10.1416
