func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,CRS,Dense)	CRS	float	1000	1000	1000	0.0361811	4.47747
matmul(Dense,CRS,Dense)	CRS	float	1500	1500	1500	0.0514639	7.08264
matmul(Dense,CRS,Dense)	CRS	float	2000	2000	2000	0.102551	6.31881
matmul(Dense,CRS,Dense)	CRS	float	2500	2500	2500	0.134553	7.52493
matmul(Dense,CRS,Dense)	CRS	float	3000	3000	3000	0.168505	8.65256
matmul(Dense,CRS,Dense)	CRS	double	1000	1000	1000	0.0359892	4.50135
matmul(Dense,CRS,Dense)	CRS	double	1500	1500	1500	0.0586825	6.21139
matmul(Dense,CRS,Dense)	CRS	double	2000	2000	2000	0.0840379	7.7108
matmul(Dense,CRS,Dense)	CRS	double	2500	2500	2500	0.11288	8.9697
matmul(Dense,CRS,Dense)	CRS	double	3000	3000	3000	0.144311	10.1032
