func	kind	prec	M	N	time[sec]
convert(COO,Dense)	Dense	float	1000	1000	0.00229903
convert(COO,Dense)	Dense	float	2000	2000	0.00553019
convert(COO,Dense)	Dense	float	3000	3000	0.0159881
convert(COO,Dense)	Dense	float	4000	4000	0.0289349
convert(COO,Dense)	Dense	float	5000	5000	0.0439259
convert(COO,Dense)	Dense	float	6000	6000	0.0614902
convert(COO,Dense)	Dense	float	7000	7000	0.0812485
convert(COO,Dense)	Dense	float	8000	8000	0.105305
convert(COO,Dense)	Dense	float	9000	9000	0.13159
convert(COO,Dense)	Dense	float	10000	10000	0.160275
convert(COO,Dense)	Dense	double	1000	1000	0.00282195
convert(COO,Dense)	Dense	double	2000	2000	0.00872543
convert(COO,Dense)	Dense	double	3000	3000	0.0297597
convert(COO,Dense)	Dense	double	4000	4000	0.052286
convert(COO,Dense)	Dense	double	5000	5000	0.07969
convert(COO,Dense)	Dense	double	6000	6000	0.113371
convert(COO,Dense)	Dense	double	7000	7000	0.152669
convert(COO,Dense)	Dense	double	8000	8000	0.198215
convert(COO,Dense)	Dense	double	9000	9000	0.24875
convert(COO,Dense)	Dense	double	10000	10000	0.303612
