func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	Dense	float	1000	1000	1000	0.00818344	244.396
matmul(Dense,Dense,Dense)	Dense	float	1500	1500	1500	0.0047752	1413.55
matmul(Dense,Dense,Dense)	Dense	float	2000	2000	2000	0.00910167	1757.92
matmul(Dense,Dense,Dense)	Dense	float	2500	2500	2500	0.0152933	2043.37
matmul(Dense,Dense,Dense)	Dense	float	3000	3000	3000	0.0259636	2079.83
matmul(Dense,Dense,Dense)	Dense	float	3500	3500	3500	0.0413103	2075.76
matmul(Dense,Dense,Dense)	Dense	float	4000	4000	4000	0.0605678	2113.33
matmul(Dense,Dense,Dense)	Dense	float	4500	4500	4500	0.0896601	2032.68
matmul(Dense,Dense,Dense)	Dense	float	5000	5000	5000	0.12197	2049.68
matmul(Dense,Dense,Dense)	Dense	double	1000	1000	1000	0.0277272	72.1314
matmul(Dense,Dense,Dense)	Dense	double	1500	1500	1500	0.088366	76.3868
matmul(Dense,Dense,Dense)	Dense	double	2000	2000	2000	0.208415	76.7701
matmul(Dense,Dense,Dense)	Dense	double	2500	2500	2500	0.405317	77.1002
matmul(Dense,Dense,Dense)	Dense	double	3000	3000	3000	0.680486	79.355
matmul(Dense,Dense,Dense)	Dense	double	3500	3500	3500	1.0857	78.9814
matmul(Dense,Dense,Dense)	Dense	double	4000	4000	4000	1.61959	79.0324
matmul(Dense,Dense,Dense)	Dense	double	4500	4500	4500	2.31148	78.8456
matmul(Dense,Dense,Dense)	Dense	double	5000	5000	5000	3.17418	78.7605
