func	kind	prec	M	N	time[sec]
convert(COO,Dense)	Dense	float	1000	1000	0.0022547
convert(COO,Dense)	Dense	float	2000	2000	0.00559367
convert(COO,Dense)	Dense	float	3000	3000	0.0168927
convert(COO,Dense)	Dense	float	4000	4000	0.0285612
convert(COO,Dense)	Dense	float	5000	5000	0.0444747
convert(COO,Dense)	Dense	float	6000	6000	0.0626827
convert(COO,Dense)	Dense	float	7000	7000	0.085711
convert(COO,Dense)	Dense	float	8000	8000	0.110201
convert(COO,Dense)	Dense	float	9000	9000	0.138418
convert(COO,Dense)	Dense	float	10000	10000	0.168263
convert(COO,Dense)	Dense	double	1000	1000	0.00311366
convert(COO,Dense)	Dense	double	2000	2000	0.00896457
convert(COO,Dense)	Dense	double	3000	3000	0.0312396
convert(COO,Dense)	Dense	double	4000	4000	0.0545236
convert(COO,Dense)	Dense	double	5000	5000	0.0847674
convert(COO,Dense)	Dense	double	6000	6000	0.119652
convert(COO,Dense)	Dense	double	7000	7000	0.159586
convert(COO,Dense)	Dense	double	8000	8000	0.207847
convert(COO,Dense)	Dense	double	9000	9000	0.260364
convert(COO,Dense)	Dense	double	10000	10000	0.320891
