func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
scal	float	1000	2.718e-07	3.67918	29.4334	
scal	float	10000	1.7831e-06	5.60821	44.8657	
scal	float	100000	8.4351e-06	11.8552	94.8418	
scal	float	1000000	2.06552e-05	48.414	387.312	
scal	float	10000000	0.000511555	19.5482	156.386	
scal	float	100000000	0.0170197	5.87553	47.0043	
scal	double	1000	2.885e-07	3.4662	55.4593	
scal	double	10000	7.9519e-06	1.25756	20.121	
scal	double	100000	1.29586e-05	7.71688	123.47	
scal	double	1000000	4.18197e-05	23.9122	382.595	
scal	double	10000000	0.00844472	1.18417	18.9467	
scal	double	100000000	0.0553853	1.80553	28.8885	
