func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
sum	float	1000	0.000933653	0.00107106	0.00428425	
sum	float	10000	0.000948433	0.0105437	0.0421748	
sum	float	100000	0.00103836	0.0963058	0.385223	
sum	float	1000000	0.00193941	0.515621	2.06248	
sum	float	10000000	0.0110672	0.903567	3.61427	
sum	float	100000000	0.0828317	1.20727	4.82907	
sum	double	1000	0.00072376	0.00138167	0.0110534	
sum	double	10000	0.00073276	0.013647	0.109176	
sum	double	100000	0.000850916	0.11752	0.940163	
sum	double	1000000	0.00198167	0.504625	4.037	
sum	double	10000000	0.0131511	0.760392	6.08314	
sum	double	100000000	0.125823	0.79477	6.35816	
