func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
nrm2	float	1000	3.405e-07	5.87372	11.7474	
nrm2	float	10000	2.1672e-06	9.2285	18.457	
nrm2	float	100000	1.04174e-05	19.1986	38.3973	
nrm2	float	1000000	2.58684e-05	77.3144	154.629	
nrm2	float	10000000	0.000278596	71.7885	143.577	
nrm2	float	100000000	0.00808926	24.7242	49.4483	
nrm2	double	1000	4.857e-07	4.11777	16.4711	
nrm2	double	10000	2.93242e-05	0.682031	2.72812	
nrm2	double	100000	1.05485e-05	18.96	75.8402	
nrm2	double	1000000	3.27858e-05	61.002	244.008	
nrm2	double	10000000	0.00520514	3.84236	15.3694	
nrm2	double	100000000	0.0576006	3.47219	13.8888	
