func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
axpy	float	1000	0.000483037	0.00414047	0.0248428	
axpy	float	10000	0.000494502	0.0404447	0.242668	
axpy	float	100000	0.000500763	0.39939	2.39634	
axpy	float	1000000	0.000599452	3.33638	20.0183	
axpy	float	10000000	0.00168414	11.8755	71.253	
axpy	float	100000000	0.0125043	15.9945	95.9672	
axpy	double	1000	0.00043315	0.00461734	0.055408	
axpy	double	10000	0.000451292	0.0443172	0.531806	
axpy	double	100000	0.000447161	0.447266	5.36719	
axpy	double	1000000	0.000652733	3.06404	36.7685	
axpy	double	10000000	0.00282301	7.08463	85.0155	
axpy	double	100000000	0.0244126	8.1925	98.31	
