func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
asum	float	1000	0.000501544	0.00199384	0.00797537	
asum	float	10000	0.000531833	0.0188029	0.0752116	
asum	float	100000	0.000526568	0.189909	0.759637	
asum	float	1000000	0.000547388	1.82686	7.30743	
asum	float	10000000	0.00093954	10.6435	42.574	
asum	float	100000000	0.00461243	21.6806	86.7223	
asum	double	1000	0.00047113	0.00212256	0.0169805	
asum	double	10000	0.000470152	0.0212697	0.170158	
asum	double	100000	0.000472977	0.211427	1.69141	
asum	double	1000000	0.000540141	1.85137	14.811	
asum	double	10000000	0.00124542	8.02941	64.2352	
asum	double	100000000	0.00826504	12.0992	96.7932	
