func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	Dense	float	1000	1000	1000	0.00748626	267.156
matmul(Dense,Dense,Dense)	Dense	float	1500	1500	1500	0.00460523	1465.72
matmul(Dense,Dense,Dense)	Dense	float	2000	2000	2000	0.00920626	1737.95
matmul(Dense,Dense,Dense)	Dense	float	2500	2500	2500	0.0155083	2015.05
matmul(Dense,Dense,Dense)	Dense	float	3000	3000	3000	0.0257972	2093.25
matmul(Dense,Dense,Dense)	Dense	float	3500	3500	3500	0.0411662	2083.02
matmul(Dense,Dense,Dense)	Dense	float	4000	4000	4000	0.0612632	2089.35
matmul(Dense,Dense,Dense)	Dense	float	4500	4500	4500	0.0881048	2068.56
matmul(Dense,Dense,Dense)	Dense	float	5000	5000	5000	0.122414	2042.24
matmul(Dense,Dense,Dense)	Dense	double	1000	1000	1000	0.0275734	72.5336
matmul(Dense,Dense,Dense)	Dense	double	1500	1500	1500	0.0885552	76.2237
matmul(Dense,Dense,Dense)	Dense	double	2000	2000	2000	0.208778	76.6365
matmul(Dense,Dense,Dense)	Dense	double	2500	2500	2500	0.406027	76.9654
matmul(Dense,Dense,Dense)	Dense	double	3000	3000	3000	0.682019	79.1766
matmul(Dense,Dense,Dense)	Dense	double	3500	3500	3500	1.09107	78.5927
matmul(Dense,Dense,Dense)	Dense	double	4000	4000	4000	1.62312	78.8604
matmul(Dense,Dense,Dense)	Dense	double	4500	4500	4500	2.31661	78.671
matmul(Dense,Dense,Dense)	Dense	double	5000	5000	5000	3.18569	78.4758
