func	kind	prec	M	N	time[sec]
convert(COO,Dense)	Dense	float	1000	1000	0.00253173
convert(COO,Dense)	Dense	float	2000	2000	0.00554523
convert(COO,Dense)	Dense	float	3000	3000	0.0166859
convert(COO,Dense)	Dense	float	4000	4000	0.0291275
convert(COO,Dense)	Dense	float	5000	5000	0.0445709
convert(COO,Dense)	Dense	float	6000	6000	0.0620047
convert(COO,Dense)	Dense	float	7000	7000	0.0846878
convert(COO,Dense)	Dense	float	8000	8000	0.107962
convert(COO,Dense)	Dense	float	9000	9000	0.136733
convert(COO,Dense)	Dense	float	10000	10000	0.168171
convert(COO,Dense)	Dense	double	1000	1000	0.00282782
convert(COO,Dense)	Dense	double	2000	2000	0.00887675
convert(COO,Dense)	Dense	double	3000	3000	0.0314329
convert(COO,Dense)	Dense	double	4000	4000	0.0543962
convert(COO,Dense)	Dense	double	5000	5000	0.0840833
convert(COO,Dense)	Dense	double	6000	6000	0.118807
convert(COO,Dense)	Dense	double	7000	7000	0.160623
convert(COO,Dense)	Dense	double	8000	8000	0.207942
convert(COO,Dense)	Dense	double	9000	9000	0.260732
convert(COO,Dense)	Dense	double	10000	10000	0.316732
