func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
scal	float	1000	0.000256159	0.00390383	0.0312307	
scal	float	10000	0.000272902	0.0366432	0.293145	
scal	float	100000	0.000275462	0.363027	2.90421	
scal	float	1000000	0.000367444	2.7215	21.772	
scal	float	10000000	0.00107192	9.32909	74.6327	
scal	float	100000000	0.00840502	11.8977	95.1812	
scal	double	1000	0.000276407	0.00361785	0.0578856	
scal	double	10000	0.000276354	0.0361854	0.578967	
scal	double	100000	0.000309915	0.322669	5.1627	
scal	double	1000000	0.000418229	2.39103	38.2565	
scal	double	10000000	0.00192797	5.1868	82.9889	
scal	double	100000000	0.0165002	6.06052	96.9683	
