func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
scal	float	1000	2.6e-07	3.84615	30.7692	
scal	float	10000	1.746e-06	5.72738	45.819	
scal	float	100000	8.8728e-06	11.2704	90.1632	
scal	float	1000000	2.03207e-05	49.2109	393.687	
scal	float	10000000	0.000347861	28.7471	229.977	
scal	float	100000000	0.0151407	6.60471	52.8377	
scal	double	1000	3.111e-07	3.2144	51.4304	
scal	double	10000	8.1566e-06	1.226	19.616	
scal	double	100000	1.06574e-05	9.38315	150.13	
scal	double	1000000	4.07007e-05	24.5696	393.114	
scal	double	10000000	0.00910623	1.09815	17.5704	
scal	double	100000000	0.0368114	2.71655	43.4648	
