func	prec	M	N	time[sec]	perf[GFLOPS]	perf[GB/s]
matadd(Dense,Dense,Dense)	float	1000	1000	5.55929e-05	17.9879	215.855	
matadd(Dense,Dense,Dense)	float	2000	2000	0.00193708	2.06497	24.7796	
matadd(Dense,Dense,Dense)	float	3000	3000	0.0084708	1.06247	12.7497	
matadd(Dense,Dense,Dense)	float	4000	4000	0.0163011	0.981527	11.7783	
matadd(Dense,Dense,Dense)	float	5000	5000	0.0263729	0.947942	11.3753	
matadd(Dense,Dense,Dense)	float	6000	6000	0.037908	0.949667	11.396	
matadd(Dense,Dense,Dense)	float	7000	7000	0.0531771	0.921449	11.0574	
matadd(Dense,Dense,Dense)	float	8000	8000	0.0585764	1.09259	13.1111	
matadd(Dense,Dense,Dense)	float	9000	9000	0.0691921	1.17065	14.0478	
matadd(Dense,Dense,Dense)	float	10000	10000	0.0830644	1.20389	14.4466	
matadd(Dense,Dense,Dense)	double	1000	1000	0.00386379	0.258813	6.21152	
matadd(Dense,Dense,Dense)	double	2000	2000	0.00766738	0.52169	12.5206	
matadd(Dense,Dense,Dense)	double	3000	3000	0.0179671	0.500915	12.022	
matadd(Dense,Dense,Dense)	double	4000	4000	0.0323368	0.494793	11.875	
matadd(Dense,Dense,Dense)	double	5000	5000	0.0389321	0.642144	15.4115	
matadd(Dense,Dense,Dense)	double	6000	6000	0.071679	0.502239	12.0537	
matadd(Dense,Dense,Dense)	double	7000	7000	0.083904	0.584001	14.016	
matadd(Dense,Dense,Dense)	double	8000	8000	0.125442	0.510194	12.2447	
matadd(Dense,Dense,Dense)	double	9000	9000	0.124771	0.649188	15.5805	
matadd(Dense,Dense,Dense)	double	10000	10000	0.176898	0.565296	13.5671	
