func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
axpy	float	1000	0.000485699	0.00411778	0.0247067	
axpy	float	10000	0.000500394	0.0399685	0.239811	
axpy	float	100000	0.000504283	0.396602	2.37961	
axpy	float	1000000	0.000603041	3.31652	19.8991	
axpy	float	10000000	0.00168609	11.8618	71.1706	
axpy	float	100000000	0.0124833	16.0214	96.1284	
axpy	double	1000	0.000438944	0.00455639	0.0546767	
axpy	double	10000	0.000430542	0.0464531	0.557437	
axpy	double	100000	0.000450078	0.444368	5.33241	
axpy	double	1000000	0.000671993	2.97622	35.7147	
axpy	double	10000000	0.00282445	7.08102	84.9722	
axpy	double	100000000	0.0244176	8.1908	98.2896	
