func	prec	M	N	time[sec]	perf[GFLOPS] 
mv_mul(Dense)	float	1000	1000	0.0173581	0.11522	
mv_mul(Dense)	float	2000	2000	0.00158196	5.05702	
mv_mul(Dense)	float	3000	3000	0.00181995	9.89039	
mv_mul(Dense)	float	4000	4000	0.0023467	13.6362	
mv_mul(Dense)	float	5000	5000	0.00235874	21.1978	
mv_mul(Dense)	float	6000	6000	0.00272462	26.4257	
mv_mul(Dense)	float	7000	7000	0.0032087	30.542	
mv_mul(Dense)	float	8000	8000	0.00390474	32.7807	
mv_mul(Dense)	float	9000	9000	0.00467224	34.6729	
mv_mul(Dense)	float	10000	10000	0.00526425	37.9921	
mv_mul(Dense)	double	1000	1000	0.00127374	1.57018	
mv_mul(Dense)	double	2000	2000	0.00153797	5.20165	
mv_mul(Dense)	double	3000	3000	0.00194347	9.26181	
mv_mul(Dense)	double	4000	4000	0.00253005	12.648	
mv_mul(Dense)	double	5000	5000	0.0033113	15.0998	
mv_mul(Dense)	double	6000	6000	0.00420128	17.1377	
mv_mul(Dense)	double	7000	7000	0.00517258	18.9461	
mv_mul(Dense)	double	8000	8000	0.00647143	19.7792	
mv_mul(Dense)	double	9000	9000	0.00800257	20.2435	
