func	prec	M	N	time[sec]
transpose(Dense)	float	1000	1000	0.00305584	
transpose(Dense)	float	2000	2000	0.0198913	
transpose(Dense)	float	3000	3000	0.0496029	
transpose(Dense)	float	4000	4000	0.0981146	
transpose(Dense)	float	5000	5000	0.154874	
transpose(Dense)	float	6000	6000	0.21576	
transpose(Dense)	float	7000	7000	0.317227	
transpose(Dense)	float	8000	8000	0.403298	
transpose(Dense)	float	9000	9000	0.525955	
transpose(Dense)	float	10000	10000	0.614088	
transpose(Dense)	double	1000	1000	0.0037117	
transpose(Dense)	double	2000	2000	0.0287184	
transpose(Dense)	double	3000	3000	0.0736438	
transpose(Dense)	double	4000	4000	0.153832	
transpose(Dense)	double	5000	5000	0.229088	
transpose(Dense)	double	6000	6000	0.357644	
transpose(Dense)	double	7000	7000	0.453225	
transpose(Dense)	double	8000	8000	0.661455	
transpose(Dense)	double	9000	9000	0.755532	
transpose(Dense)	double	10000	10000	0.952215	
