func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
axpy	float	1000	3.112e-07	6.42674	38.5604	
axpy	float	10000	5.5066e-06	3.63201	21.792	
axpy	float	100000	9.5318e-06	20.9824	125.894	
axpy	float	1000000	3.33735e-05	59.9278	359.567	
axpy	float	10000000	0.0076071	2.62912	15.7747	
axpy	float	100000000	0.039524	5.06021	30.3613	
axpy	double	1000	7.6e-07	2.63158	31.5789	
axpy	double	10000	9.7172e-06	2.05821	24.6985	
axpy	double	100000	1.22292e-05	16.3543	196.252	
axpy	double	1000000	5.99076e-05	33.3847	400.617	
axpy	double	10000000	0.0174838	1.14391	13.727	
axpy	double	100000000	0.0680004	2.94116	35.2939	
