func	prec	M	N	time[sec]	perf[GFLOPS] 
mv_mul(CRS)	float	1000	1000	0.00326657	0.0495932	
mv_mul(CRS)	float	10000	10000	0.000206457	7.84668	
mv_mul(CRS)	float	100000	100000	0.0132687	1.22092	
mv_mul(CRS)	float	1000000	1000000	0.106199	1.52544	
mv_mul(CRS)	double	1000	1000	2.83029e-05	5.7238	
mv_mul(CRS)	double	10000	10000	0.000236689	6.84444	
mv_mul(CRS)	double	100000	100000	0.0153558	1.05497	
mv_mul(CRS)	double	1000000	1000000	0.154743	1.0469	
