func	prec	M	N	time[sec]	perf[GFLOPS] 
matvec(Dense)	float	1000	1000	0.00188528	1.06085	
matvec(Dense)	float	2000	2000	6.42632e-05	124.488	
matvec(Dense)	float	3000	3000	0.000169009	106.503	
matvec(Dense)	float	4000	4000	0.0050223	6.37159	
matvec(Dense)	float	5000	5000	0.00936704	5.33786	
matvec(Dense)	float	6000	6000	0.0107522	6.69632	
matvec(Dense)	float	7000	7000	0.0150055	6.53094	
matvec(Dense)	float	8000	8000	0.0194884	6.568	
matvec(Dense)	float	9000	9000	0.0258988	6.25513	
matvec(Dense)	float	10000	10000	0.0312844	6.39296	
matvec(Dense)	double	1000	1000	0.000149541	13.3743	
matvec(Dense)	double	2000	2000	0.000130975	61.0802	
matvec(Dense)	double	3000	3000	0.0059728	3.01366	
matvec(Dense)	double	4000	4000	0.0126565	2.52835	
matvec(Dense)	double	5000	5000	0.0198861	2.51432	
matvec(Dense)	double	6000	6000	0.0226937	3.17269	
matvec(Dense)	double	7000	7000	0.0284271	3.44742	
matvec(Dense)	double	8000	8000	0.041286	3.10032	
matvec(Dense)	double	9000	9000	0.0384015	4.21858	
matvec(Dense)	double	10000	10000	0.0596038	3.35549	
