func	prec	M	N	time[sec]	perf[GFLOPS] 
m_tanh(Dense)	float	1000	1000	0.00204828	0.488214	
m_tanh(Dense)	float	2000	2000	0.0010982	3.64234	
m_tanh(Dense)	float	3000	3000	0.00249884	3.60167	
m_tanh(Dense)	float	4000	4000	0.00499031	3.20622	
m_tanh(Dense)	float	5000	5000	0.00884689	2.82585	
m_tanh(Dense)	float	6000	6000	0.0127518	2.82312	
m_tanh(Dense)	float	7000	7000	0.0178598	2.7436	
m_tanh(Dense)	float	8000	8000	0.0232199	2.75626	
m_tanh(Dense)	float	9000	9000	0.0308749	2.62349	
m_tanh(Dense)	float	10000	10000	0.0392097	2.55039	
m_tanh(Dense)	double	1000	1000	0.000728839	1.37204	
m_tanh(Dense)	double	2000	2000	0.00290499	1.37694	
m_tanh(Dense)	double	3000	3000	0.00700031	1.28566	
m_tanh(Dense)	double	4000	4000	0.0124808	1.28197	
m_tanh(Dense)	double	5000	5000	0.019651	1.2722	
m_tanh(Dense)	double	6000	6000	0.0281183	1.2803	
m_tanh(Dense)	double	7000	7000	0.0394614	1.24172	
m_tanh(Dense)	double	8000	8000	0.0501019	1.2774	
m_tanh(Dense)	double	9000	9000	0.0645591	1.25466	
m_tanh(Dense)	double	10000	10000	0.0784838	1.27415	
