func	prec	M	N	time[sec]	perf[GFLOPS] 
matvec(Dense)	float	1000	1000	0.016275	0.122888	
matvec(Dense)	float	2000	2000	0.00069051	11.5856	
matvec(Dense)	float	3000	3000	0.000900544	19.9879	
matvec(Dense)	float	4000	4000	0.00121219	26.3985	
matvec(Dense)	float	5000	5000	0.00153756	32.5191	
matvec(Dense)	float	6000	6000	0.00196227	36.6923	
matvec(Dense)	float	7000	7000	0.00248188	39.4861	
matvec(Dense)	float	8000	8000	0.00317512	40.3134	
matvec(Dense)	float	9000	9000	0.00378674	42.7809	
matvec(Dense)	float	10000	10000	0.00454	44.0528	
matvec(Dense)	double	1000	1000	0.00055165	3.62549	
matvec(Dense)	double	2000	2000	0.000822601	9.72525	
matvec(Dense)	double	3000	3000	0.00121223	14.8487	
matvec(Dense)	double	4000	4000	0.00183207	17.4666	
matvec(Dense)	double	5000	5000	0.00249674	20.0261	
matvec(Dense)	double	6000	6000	0.00345061	20.8659	
matvec(Dense)	double	7000	7000	0.00444552	22.0446	
matvec(Dense)	double	8000	8000	0.00568455	22.5172	
matvec(Dense)	double	9000	9000	0.00709752	22.8249	
