func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
vv_mul	float	1000	1.71429e-05	0.116666	0.699998	
vv_mul	float	10000	2.48561e-05	0.804631	4.82779	
vv_mul	float	100000	0.000115943	1.72499	10.3499	
vv_mul	float	1000000	0.000862248	2.31952	13.9171	
vv_mul	float	10000000	0.0276982	0.722069	4.33241	
vv_mul	float	100000000	0.225775	0.885838	5.31503	
vv_mul	double	1000	1.6744e-05	0.119446	1.43335	
vv_mul	double	10000	3.30114e-05	0.605851	7.27022	
vv_mul	double	100000	0.000138164	1.44756	17.3707	
vv_mul	double	1000000	0.00159273	1.25571	15.0685	
vv_mul	double	10000000	0.0648259	0.308519	3.70222	
vv_mul	double	100000000	0.484254	0.413006	4.95608	
