func	prec	M	N	time[sec]	perf[GFLOPS] 
m_tanh(CRS)	float	1000	1000	0.00260952	0.0310402	
m_tanh(CRS)	float	10000	10000	0.000439636	1.84243	
m_tanh(CRS)	float	100000	100000	0.00495388	1.63508	
m_tanh(CRS)	float	1000000	1000000	0.0610378	1.32705	
m_tanh(CRS)	double	1000	1000	0.000100402	0.806754	
m_tanh(CRS)	double	10000	10000	0.00077209	1.0491	
m_tanh(CRS)	double	100000	100000	0.0122376	0.661893	
m_tanh(CRS)	double	1000000	1000000	0.11523	0.702942	
