func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
dot	float	1000	1.989e-07	10.0553	40.2212	
dot	float	10000	2.7045e-06	7.39508	29.5803	
dot	float	100000	5.904e-06	33.8753	135.501	
dot	float	1000000	0.00017699	11.3001	45.2003	
dot	float	10000000	0.00471477	4.24199	16.968	
dot	float	100000000	0.0470783	4.24824	16.993	
dot	double	1000	5.452e-07	3.66838	29.347	
dot	double	10000	2.4117e-06	8.29291	66.3432	
dot	double	100000	1.27589e-05	15.6753	125.403	
dot	double	1000000	0.000938907	2.13014	17.0411	
dot	double	10000000	0.009452	2.11595	16.9276	
dot	double	100000000	0.0942061	2.123	16.984	
