func	prec	M	N	time[sec]
transpose(Dense)	float	1000	1000	0.00710021	
transpose(Dense)	float	2000	2000	0.0130051	
transpose(Dense)	float	3000	3000	0.0301118	
transpose(Dense)	float	4000	4000	0.0724583	
transpose(Dense)	float	5000	5000	0.0927046	
transpose(Dense)	float	6000	6000	0.138414	
transpose(Dense)	float	7000	7000	0.199212	
transpose(Dense)	float	8000	8000	0.291785	
transpose(Dense)	float	9000	9000	0.33345	
transpose(Dense)	float	10000	10000	0.416076	
transpose(Dense)	double	1000	1000	0.0040327	
transpose(Dense)	double	2000	2000	0.023151	
transpose(Dense)	double	3000	3000	0.0453122	
transpose(Dense)	double	4000	4000	0.104971	
transpose(Dense)	double	5000	5000	0.139228	
transpose(Dense)	double	6000	6000	0.234752	
transpose(Dense)	double	7000	7000	0.28206	
transpose(Dense)	double	8000	8000	0.430099	
transpose(Dense)	double	9000	9000	0.470754	
