func	prec	M	N	time[sec]	perf[GFLOPS] 
matvec(Dense)	float	1000	1000	0.0018849	1.06106	
matvec(Dense)	float	2000	2000	6.49809e-05	123.113	
matvec(Dense)	float	3000	3000	0.000188176	95.6553	
matvec(Dense)	float	4000	4000	0.00504663	6.34087	
matvec(Dense)	float	5000	5000	0.00955797	5.23124	
matvec(Dense)	float	6000	6000	0.0147299	4.88801	
matvec(Dense)	float	7000	7000	0.0199503	4.91222	
matvec(Dense)	float	8000	8000	0.0265293	4.82485	
matvec(Dense)	float	9000	9000	0.0189506	8.54856	
matvec(Dense)	float	10000	10000	0.0425207	4.70359	
matvec(Dense)	double	1000	1000	0.000141166	14.1677	
matvec(Dense)	double	2000	2000	0.000139201	57.4706	
matvec(Dense)	double	3000	3000	0.00590656	3.04746	
matvec(Dense)	double	4000	4000	0.012638	2.53205	
matvec(Dense)	double	5000	5000	0.0205073	2.43815	
matvec(Dense)	double	6000	6000	0.0301894	2.38494	
matvec(Dense)	double	7000	7000	0.0384934	2.54589	
matvec(Dense)	double	8000	8000	0.0545036	2.34847	
matvec(Dense)	double	9000	9000	0.0674384	2.40219	
matvec(Dense)	double	10000	10000	0.0809679	2.47011	
