func	prec	M	N	time[sec]	perf[GFLOPS] 
mv_mul(Dense)	float	1000	1000	0.00221866	0.901443	
mv_mul(Dense)	float	2000	2000	6.6873e-05	119.63	
mv_mul(Dense)	float	3000	3000	0.000176279	102.111	
mv_mul(Dense)	float	4000	4000	0.00502334	6.37026	
mv_mul(Dense)	float	5000	5000	0.0095076	5.25895	
mv_mul(Dense)	float	6000	6000	0.0146814	4.90416	
mv_mul(Dense)	float	7000	7000	0.0204217	4.79883	
mv_mul(Dense)	float	8000	8000	0.0272563	4.69617	
mv_mul(Dense)	float	9000	9000	0.0220953	7.33186	
mv_mul(Dense)	float	10000	10000	0.0429109	4.66082	
mv_mul(Dense)	double	1000	1000	0.000150677	13.2735	
mv_mul(Dense)	double	2000	2000	0.000139763	57.2398	
mv_mul(Dense)	double	3000	3000	0.00597195	3.01409	
mv_mul(Dense)	double	4000	4000	0.0124959	2.56085	
mv_mul(Dense)	double	5000	5000	0.0208742	2.3953	
mv_mul(Dense)	double	6000	6000	0.0296376	2.42934	
mv_mul(Dense)	double	7000	7000	0.0414814	2.3625	
mv_mul(Dense)	double	8000	8000	0.0543996	2.35296	
mv_mul(Dense)	double	9000	9000	0.0587945	2.75536	
mv_mul(Dense)	double	10000	10000	0.0803001	2.49066	
