func	prec	M	N	time[sec]	perf[GFLOPS]	perf[GB/s]
matadd(Dense,Dense,Dense)	float	1000	1000	5.69608e-05	17.5559	210.671	
matadd(Dense,Dense,Dense)	float	2000	2000	0.00222648	1.79656	21.5587	
matadd(Dense,Dense,Dense)	float	3000	3000	0.0108208	0.831733	9.9808	
matadd(Dense,Dense,Dense)	float	4000	4000	0.020561	0.778171	9.33805	
matadd(Dense,Dense,Dense)	float	5000	5000	0.0327547	0.763248	9.15898	
matadd(Dense,Dense,Dense)	float	6000	6000	0.032421	1.11039	13.3247	
matadd(Dense,Dense,Dense)	float	7000	7000	0.0521067	0.940379	11.2845	
matadd(Dense,Dense,Dense)	float	8000	8000	0.0589523	1.08562	13.0275	
matadd(Dense,Dense,Dense)	float	9000	9000	0.0746851	1.08455	13.0146	
matadd(Dense,Dense,Dense)	float	10000	10000	0.0779762	1.28244	15.3893	
matadd(Dense,Dense,Dense)	double	1000	1000	9.71426e-05	10.2941	247.059	
matadd(Dense,Dense,Dense)	double	2000	2000	0.00735695	0.543703	13.0489	
matadd(Dense,Dense,Dense)	double	3000	3000	0.0184513	0.48777	11.7065	
matadd(Dense,Dense,Dense)	double	4000	4000	0.0214085	0.747367	17.9368	
matadd(Dense,Dense,Dense)	double	5000	5000	0.0538328	0.464401	11.1456	
matadd(Dense,Dense,Dense)	double	6000	6000	0.0754781	0.47696	11.447	
matadd(Dense,Dense,Dense)	double	7000	7000	0.0950278	0.515638	12.3753	
matadd(Dense,Dense,Dense)	double	8000	8000	0.083453	0.766899	18.4056	
matadd(Dense,Dense,Dense)	double	9000	9000	0.103315	0.784011	18.8163	
matadd(Dense,Dense,Dense)	double	10000	10000	0.142701	0.700765	16.8184	
