func	prec	M	N	time[sec]	perf[GFLOPS] 
matvec(Dense)	float	1000	1000	0.0164902	0.121284	
matvec(Dense)	float	2000	2000	0.000681708	11.7352	
matvec(Dense)	float	3000	3000	0.000896414	20.08	
matvec(Dense)	float	4000	4000	0.0012108	26.4289	
matvec(Dense)	float	5000	5000	0.00153079	32.663	
matvec(Dense)	float	6000	6000	0.00195946	36.7449	
matvec(Dense)	float	7000	7000	0.00249671	39.2516	
matvec(Dense)	float	8000	8000	0.00317456	40.3205	
matvec(Dense)	float	9000	9000	0.00377836	42.8758	
matvec(Dense)	float	10000	10000	0.00453018	44.1483	
matvec(Dense)	double	1000	1000	0.000544896	3.67043	
matvec(Dense)	double	2000	2000	0.000807184	9.91099	
matvec(Dense)	double	3000	3000	0.00122102	14.7418	
matvec(Dense)	double	4000	4000	0.00181799	17.6019	
matvec(Dense)	double	5000	5000	0.00249025	20.0783	
matvec(Dense)	double	6000	6000	0.00344627	20.8921	
matvec(Dense)	double	7000	7000	0.00441559	22.1941	
matvec(Dense)	double	8000	8000	0.00567473	22.5562	
matvec(Dense)	double	9000	9000	0.00707975	22.8822	
