func	prec	M	N	time[sec]
convert(COO,Dense)	float	1000	1000	0.00160588	
convert(COO,Dense)	float	2000	2000	0.00557108	
convert(COO,Dense)	float	3000	3000	0.0123437	
convert(COO,Dense)	float	4000	4000	0.0195132	
convert(COO,Dense)	float	5000	5000	0.0294386	
convert(COO,Dense)	float	6000	6000	0.0403516	
convert(COO,Dense)	float	7000	7000	0.0526725	
convert(COO,Dense)	float	8000	8000	0.0679872	
convert(COO,Dense)	float	9000	9000	0.0841612	
convert(COO,Dense)	float	10000	10000	0.103028	
convert(COO,Dense)	double	1000	1000	0.00204274	
convert(COO,Dense)	double	2000	2000	0.00972761	
convert(COO,Dense)	double	3000	3000	0.020188	
convert(COO,Dense)	double	4000	4000	0.0343106	
convert(COO,Dense)	double	5000	5000	0.051349	
convert(COO,Dense)	double	6000	6000	0.0726078	
convert(COO,Dense)	double	7000	7000	0.0975577	
convert(COO,Dense)	double	8000	8000	0.125823	
convert(COO,Dense)	double	9000	9000	0.157518	
convert(COO,Dense)	double	10000	10000	0.192921	
