func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
asum	float	1000	0.000506913	0.00197272	0.00789089	
asum	float	10000	0.000510122	0.0196031	0.0784126	
asum	float	100000	0.000523439	0.191044	0.764177	
asum	float	1000000	0.00054767	1.82592	7.30367	
asum	float	10000000	0.000936282	10.6805	42.7222	
asum	float	100000000	0.0046482	21.5137	86.0547	
asum	double	1000	0.000487671	0.00205056	0.0164045	
asum	double	10000	0.000486501	0.020555	0.16444	
asum	double	100000	0.000495843	0.201677	1.61341	
asum	double	1000000	0.000559586	1.78704	14.2963	
asum	double	10000000	0.00123539	8.09464	64.7571	
asum	double	100000000	0.00825469	12.1143	96.9146	
