func	prec	M	N	time[sec]	perf[GFLOPS] 
m_tanh(Dense)	float	1000	1000	0.00140039	0.714087	
m_tanh(Dense)	float	2000	2000	0.00428642	0.933179	
m_tanh(Dense)	float	3000	3000	0.00953973	0.943423	
m_tanh(Dense)	float	4000	4000	0.0170749	0.93705	
m_tanh(Dense)	float	5000	5000	0.0267063	0.936107	
m_tanh(Dense)	float	6000	6000	0.0376314	0.956648	
m_tanh(Dense)	float	7000	7000	0.0511489	0.957988	
m_tanh(Dense)	float	8000	8000	0.0666506	0.960232	
m_tanh(Dense)	float	9000	9000	0.0847325	0.95595	
m_tanh(Dense)	float	10000	10000	0.104278	0.958972	
m_tanh(Dense)	double	1000	1000	0.00286005	0.349644	
m_tanh(Dense)	double	2000	2000	0.0113929	0.351095	
m_tanh(Dense)	double	3000	3000	0.0255528	0.352212	
m_tanh(Dense)	double	4000	4000	0.045558	0.351201	
m_tanh(Dense)	double	5000	5000	0.0715472	0.34942	
m_tanh(Dense)	double	6000	6000	0.103102	0.349168	
m_tanh(Dense)	double	7000	7000	0.140601	0.348505	
m_tanh(Dense)	double	8000	8000	0.183597	0.34859	
m_tanh(Dense)	double	9000	9000	0.232489	0.348403	
