func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
vv_sub	float	1000	1.62525e-05	0.123058	0.738348	
vv_sub	float	10000	2.60705e-05	0.767151	4.6029	
vv_sub	float	100000	0.000111751	1.7897	10.7382	
vv_sub	float	1000000	0.0008389	2.38407	14.3044	
vv_sub	float	10000000	0.027612	0.724324	4.34594	
vv_sub	float	100000000	0.231656	0.863348	5.18009	
vv_sub	double	1000	1.78018e-05	0.112348	1.34818	
vv_sub	double	10000	3.43832e-05	0.581679	6.98015	
vv_sub	double	100000	0.000143424	1.39447	16.7336	
vv_sub	double	1000000	0.00160215	1.24832	14.9799	
vv_sub	double	10000000	0.0446119	0.448311	5.37973	
vv_sub	double	100000000	0.426178	0.469288	5.63145	
