func	prec	M	N	time[sec]	perf[GFLOPS] 
mv_mul(Dense)	float	1000	1000	0.0171636	0.116526	
mv_mul(Dense)	float	2000	2000	0.00158669	5.04193	
mv_mul(Dense)	float	3000	3000	0.00181081	9.94028	
mv_mul(Dense)	float	4000	4000	0.0020415	15.6747	
mv_mul(Dense)	float	5000	5000	0.00235849	21.2	
mv_mul(Dense)	float	6000	6000	0.00273692	26.3069	
mv_mul(Dense)	float	7000	7000	0.00320984	30.5311	
mv_mul(Dense)	float	8000	8000	0.00390114	32.8109	
mv_mul(Dense)	float	9000	9000	0.00463112	34.9808	
mv_mul(Dense)	float	10000	10000	0.00526325	37.9994	
mv_mul(Dense)	double	1000	1000	0.00126294	1.58361	
mv_mul(Dense)	double	2000	2000	0.00152571	5.24347	
mv_mul(Dense)	double	3000	3000	0.00191415	9.40363	
mv_mul(Dense)	double	4000	4000	0.00251587	12.7192	
mv_mul(Dense)	double	5000	5000	0.00331488	15.0835	
mv_mul(Dense)	double	6000	6000	0.0041904	17.1821	
mv_mul(Dense)	double	7000	7000	0.00515573	19.008	
mv_mul(Dense)	double	8000	8000	0.00646797	19.7898	
mv_mul(Dense)	double	9000	9000	0.00797904	20.3032	
