func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
sv_mul	float	1000	0.000531968	0.00375962	0.0150385	
sv_mul	float	10000	2.6144e-05	0.764994	3.05998	
sv_mul	float	100000	0.000117993	1.69502	6.78009	
sv_mul	float	1000000	0.000821875	2.43346	9.73385	
sv_mul	float	10000000	0.0234784	0.851847	3.40739	
sv_mul	float	100000000	0.219724	0.910231	3.64092	
sv_mul	double	1000	1.8039e-05	0.110871	0.886967	
sv_mul	double	10000	3.54885e-05	0.563563	4.5085	
sv_mul	double	100000	0.000144496	1.38412	11.073	
sv_mul	double	1000000	0.00149751	1.33555	10.6844	
sv_mul	double	10000000	0.0403157	0.496085	3.96868	
sv_mul	double	100000000	0.450512	0.44394	3.55152	
