func	prec	M	N	time[sec]	perf[GFLOPS] 
m_tanh(Dense)	float	1000	1000	0.00212424	0.470756	
m_tanh(Dense)	float	2000	2000	0.00108803	3.67636	
m_tanh(Dense)	float	3000	3000	0.0024885	3.61664	
m_tanh(Dense)	float	4000	4000	0.00496284	3.22396	
m_tanh(Dense)	float	5000	5000	0.00884743	2.82568	
m_tanh(Dense)	float	6000	6000	0.012743	2.82508	
m_tanh(Dense)	float	7000	7000	0.0180523	2.71434	
m_tanh(Dense)	float	8000	8000	0.023318	2.74466	
m_tanh(Dense)	float	9000	9000	0.0306515	2.64261	
m_tanh(Dense)	float	10000	10000	0.0384453	2.6011	
m_tanh(Dense)	double	1000	1000	0.00260259	0.384233	
m_tanh(Dense)	double	2000	2000	0.00292338	1.36828	
m_tanh(Dense)	double	3000	3000	0.0069992	1.28586	
m_tanh(Dense)	double	4000	4000	0.0124623	1.28387	
m_tanh(Dense)	double	5000	5000	0.0196901	1.26968	
m_tanh(Dense)	double	6000	6000	0.0281774	1.27762	
m_tanh(Dense)	double	7000	7000	0.0393757	1.24442	
m_tanh(Dense)	double	8000	8000	0.0500923	1.27764	
m_tanh(Dense)	double	9000	9000	0.0667446	1.21358	
m_tanh(Dense)	double	10000	10000	0.0817676	1.22298	
