func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
vv_add	float	1000	0.00183359	0.00109075	0.00654452	
vv_add	float	10000	0.00188983	0.010583	0.0634979	
vv_add	float	100000	0.00302649	0.0660831	0.396499	
vv_add	float	1000000	0.0125926	0.158823	0.95294	
vv_add	float	10000000	0.0978085	0.204481	1.22689	
