func	kind	prec	M	N	time[sec]
transpose(Dense)	Dense	float	1000	1000	0.00289869
transpose(Dense)	Dense	float	2000	2000	0.0151828
transpose(Dense)	Dense	float	3000	3000	0.0495628
transpose(Dense)	Dense	float	4000	4000	0.0980803
transpose(Dense)	Dense	float	5000	5000	0.153837
transpose(Dense)	Dense	float	6000	6000	0.21371
transpose(Dense)	Dense	float	7000	7000	0.316735
transpose(Dense)	Dense	float	8000	8000	0.401827
transpose(Dense)	Dense	float	9000	9000	0.524676
transpose(Dense)	Dense	float	10000	10000	0.610706
transpose(Dense)	Dense	double	1000	1000	0.00354754
transpose(Dense)	Dense	double	2000	2000	0.0283411
transpose(Dense)	Dense	double	3000	3000	0.0734578
transpose(Dense)	Dense	double	4000	4000	0.152771
transpose(Dense)	Dense	double	5000	5000	0.227267
transpose(Dense)	Dense	double	6000	6000	0.356279
transpose(Dense)	Dense	double	7000	7000	0.455413
transpose(Dense)	Dense	double	8000	8000	0.615071
transpose(Dense)	Dense	double	9000	9000	0.752389
transpose(Dense)	Dense	double	10000	10000	0.924362
