func	prec	M	N	time[sec]	perf[GFLOPS]
matvec(CRS)	float	1000	1000	6.37513e-05	2.54112
matvec(CRS)	float	2000	2000	4.27834e-05	7.57303
matvec(CRS)	float	4000	4000	7.96584e-05	8.13474
matvec(CRS)	float	8000	8000	0.000155077	8.35715
matvec(CRS)	float	16000	16000	0.000333317	7.77639
matvec(CRS)	float	32000	32000	0.00122749	4.22325
matvec(CRS)	float	64000	64000	0.00761521	1.36149
matvec(CRS)	double	1000	1000	2.86459e-05	5.65526
matvec(CRS)	double	2000	2000	4.61704e-05	7.01748
matvec(CRS)	double	4000	4000	8.85249e-05	7.31997
matvec(CRS)	double	8000	8000	0.000188502	6.87527
matvec(CRS)	double	16000	16000	0.000407382	6.36258
matvec(CRS)	double	32000	32000	0.00490984	1.05584
matvec(CRS)	double	64000	64000	0.0125382	0.826916
