func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
matadd(Dense,Dense,Dense)	float	1000	1000	0.00429634	0.232756	2.79307
matadd(Dense,Dense,Dense)	float	2000	2000	0.0137551	0.290801	3.48961
matadd(Dense,Dense,Dense)	float	3000	3000	0.0243891	0.369017	4.4282
matadd(Dense,Dense,Dense)	float	4000	4000	0.0437019	0.366117	4.39341
matadd(Dense,Dense,Dense)	float	5000	5000	0.067579	0.369937	4.43925
matadd(Dense,Dense,Dense)	double	1000	1000	0.0041382	0.241651	5.79962
matadd(Dense,Dense,Dense)	double	2000	2000	0.0142007	0.281676	6.76024
matadd(Dense,Dense,Dense)	double	3000	3000	0.0264514	0.340246	8.16591
matadd(Dense,Dense,Dense)	double	4000	4000	0.0554993	0.288292	6.91901
matadd(Dense,Dense,Dense)	double	5000	5000	0.0866342	0.28857	6.92567
