func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(CRS)	float	1000	1000	0.00114014	0.071044	0.568352
mscal(CRS)	float	2000	2000	0.0013772	0.11763	0.941042
mscal(CRS)	float	4000	4000	0.00180565	0.179437	1.43549
mscal(CRS)	float	8000	8000	0.00265484	0.244082	1.95266
mscal(CRS)	float	16000	16000	0.00395869	0.327381	2.61905
mscal(CRS)	float	32000	32000	0.00672912	0.385192	3.08153
mscal(CRS)	float	64000	64000	0.0115664	0.448194	3.58555
mscal(CRS)	double	1000	1000	0.000987466	0.0820282	1.31245
mscal(CRS)	double	2000	2000	0.0012147	0.133366	2.13386
mscal(CRS)	double	4000	4000	0.00169085	0.19162	3.06592
mscal(CRS)	double	8000	8000	0.00256349	0.252781	4.04449
mscal(CRS)	double	16000	16000	0.00429976	0.301412	4.8226
mscal(CRS)	double	32000	32000	0.00769757	0.336729	5.38767
mscal(CRS)	double	64000	64000	0.0146902	0.352889	5.64623
