func	prec	M	N	time[sec]	perf[GFLOPS]
matvec(Dense)	float	1000	1000	0.0164164	0.12183
matvec(Dense)	float	2000	2000	0.00069053	11.5853
matvec(Dense)	float	3000	3000	0.000903145	19.9304
matvec(Dense)	float	4000	4000	0.00121503	26.3369
matvec(Dense)	float	5000	5000	0.00154428	32.3775
matvec(Dense)	double	1000	1000	0.000579603	3.45064
matvec(Dense)	double	2000	2000	0.000849291	9.41963
matvec(Dense)	double	3000	3000	0.0012293	14.6425
matvec(Dense)	double	4000	4000	0.00183109	17.4759
matvec(Dense)	double	5000	5000	0.00249518	20.0387
