func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
dot	float	1000	0.000502183	0.00398261	0.0159304
dot	float	2000	0.000503	0.00795229	0.0318092
dot	float	4000	0.000505064	0.0158396	0.0633583
dot	float	8000	0.000505081	0.0316781	0.126712
dot	float	16000	0.000509839	0.0627649	0.25106
dot	float	32000	0.000510986	0.125248	0.500992
dot	float	64000	0.000516989	0.247588	0.99035
dot	float	128000	0.000743899	0.344133	1.37653
dot	float	256000	0.000775151	0.660517	2.64207
dot	float	512000	0.000772403	1.32573	5.30293
dot	float	1024000	0.000818679	2.50159	10.0064
dot	float	2048000	0.000899343	4.55443	18.2177
dot	float	4096000	0.00105526	7.76302	31.0521
dot	float	8192000	0.00137328	11.9305	47.7222
dot	float	16384000	0.00203071	16.1362	64.5448
dot	float	32768000	0.00351022	18.6701	74.6803
dot	float	65536000	0.00577689	22.689	90.7561
dot	double	1000	0.000663523	0.00301421	0.0241137
dot	double	2000	0.000682563	0.00586026	0.0468821
dot	double	4000	0.000661239	0.0120985	0.096788
dot	double	8000	0.000475004	0.0336839	0.269471
dot	double	16000	0.00047351	0.0675804	0.540643
dot	double	32000	0.000473348	0.135207	1.08166
dot	double	64000	0.000464088	0.27581	2.20648
dot	double	128000	0.000476568	0.537174	4.29739
dot	double	256000	0.000514839	0.994486	7.95589
dot	double	512000	0.000535475	1.91232	15.2986
dot	double	1024000	0.000637461	3.21275	25.702
dot	double	2048000	0.000790832	5.17935	41.4348
dot	double	4096000	0.00111158	7.3697	58.9576
dot	double	8192000	0.00175608	9.32986	74.6389
dot	double	16384000	0.0030317	10.8084	86.4675
dot	double	32768000	0.00560197	11.6987	93.5899
dot	double	65536000	0.0106359	12.3235	98.5883
