func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(Dense)	float	1000	1000	5.67768e-05	17.6128	140.903
mscal(Dense)	float	2000	2000	0.000101048	39.5851	316.681
mscal(Dense)	float	3000	3000	0.000255798	35.184	281.472
mscal(Dense)	float	4000	4000	0.00588956	2.71667	21.7334
mscal(Dense)	float	5000	5000	0.0118652	2.107	16.856
mscal(Dense)	double	1000	1000	5.01893e-05	19.9246	318.793
mscal(Dense)	double	2000	2000	0.000202974	19.7069	315.311
mscal(Dense)	double	3000	3000	0.00743999	1.20968	19.3549
mscal(Dense)	double	4000	4000	0.0154543	1.03531	16.565
mscal(Dense)	double	5000	5000	0.0249456	1.00218	16.0349
