func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
matadd(Dense,Dense,Dense)	float	1000	1000	5.82608e-05	17.1642	205.97
matadd(Dense,Dense,Dense)	float	2000	2000	0.00192289	2.08021	24.9625
matadd(Dense,Dense,Dense)	float	3000	3000	0.00844466	1.06576	12.7891
matadd(Dense,Dense,Dense)	float	4000	4000	0.0163429	0.979021	11.7482
matadd(Dense,Dense,Dense)	float	5000	5000	0.0262588	0.952061	11.4247
matadd(Dense,Dense,Dense)	double	1000	1000	0.000102014	9.80258	235.262
matadd(Dense,Dense,Dense)	double	2000	2000	0.00724605	0.552025	13.2486
matadd(Dense,Dense,Dense)	double	3000	3000	0.0181858	0.494891	11.8774
matadd(Dense,Dense,Dense)	double	4000	4000	0.0165631	0.966002	23.184
matadd(Dense,Dense,Dense)	double	5000	5000	0.0477681	0.523362	12.5607
