func	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	float	1000	1000	1000	0.0179259	111.57
matmul(Dense,Dense,Dense)	float	1500	1500	1500	0.00503954	1339.41
matmul(Dense,Dense,Dense)	float	2000	2000	2000	0.0104463	1531.64
matmul(Dense,Dense,Dense)	float	2500	2500	2500	0.0172661	1809.91
matmul(Dense,Dense,Dense)	float	3000	3000	3000	0.0259812	2078.42
matmul(Dense,Dense,Dense)	float	3500	3500	3500	0.0411282	2084.94
matmul(Dense,Dense,Dense)	float	4000	4000	4000	0.0609379	2100.5
matmul(Dense,Dense,Dense)	float	4500	4500	4500	0.0881808	2066.78
matmul(Dense,Dense,Dense)	float	5000	5000	5000	0.121381	2059.63
matmul(Dense,Dense,Dense)	double	1000	1000	1000	0.0276067	72.4461
matmul(Dense,Dense,Dense)	double	1500	1500	1500	0.0880822	76.633
matmul(Dense,Dense,Dense)	double	2000	2000	2000	0.208577	76.7105
matmul(Dense,Dense,Dense)	double	2500	2500	2500	0.40597	76.9762
matmul(Dense,Dense,Dense)	double	3000	3000	3000	0.681843	79.1971
matmul(Dense,Dense,Dense)	double	3500	3500	3500	1.0915	78.5618
matmul(Dense,Dense,Dense)	double	4000	4000	4000	1.62302	78.8653
matmul(Dense,Dense,Dense)	double	4500	4500	4500	2.31657	78.6723
matmul(Dense,Dense,Dense)	double	5000	5000	5000	3.18623	78.4626
