func	prec	M	N	time[sec]	perf[GFLOPS]
m_tanh(Dense)	float	1000	1000	0.00137497	0.72729
m_tanh(Dense)	float	2000	2000	0.00431273	0.927488
m_tanh(Dense)	float	3000	3000	0.00948729	0.948638
m_tanh(Dense)	float	4000	4000	0.0170548	0.938151
m_tanh(Dense)	float	5000	5000	0.026454	0.945036
m_tanh(Dense)	double	1000	1000	0.00286743	0.348744
m_tanh(Dense)	double	2000	2000	0.0113443	0.352601
m_tanh(Dense)	double	3000	3000	0.0259108	0.347346
m_tanh(Dense)	double	4000	4000	0.0458835	0.348709
m_tanh(Dense)	double	5000	5000	0.0715201	0.349552
