func	prec	M	N	time[sec]	perf[GFLOPS]
mv_mul(CRS)	float	1000	1000	5.22527e-05	3.10032
mv_mul(CRS)	float	2000	2000	4.49667e-05	7.20533
mv_mul(CRS)	float	4000	4000	7.90393e-05	8.19845
mv_mul(CRS)	float	8000	8000	0.000162835	7.959
mv_mul(CRS)	float	16000	16000	0.000345525	7.50164
mv_mul(CRS)	float	32000	32000	0.00125985	4.11476
mv_mul(CRS)	float	64000	64000	0.007783	1.33213
mv_mul(CRS)	double	1000	1000	2.98406e-05	5.42885
mv_mul(CRS)	double	2000	2000	5.03477e-05	6.43525
mv_mul(CRS)	double	4000	4000	9.35474e-05	6.92697
mv_mul(CRS)	double	8000	8000	0.0002008	6.45419
mv_mul(CRS)	double	16000	16000	0.000435082	5.9575
mv_mul(CRS)	double	32000	32000	0.00494346	1.04866
mv_mul(CRS)	double	64000	64000	0.012688	0.817148
