func	prec	M	N	time[sec]	perf[GFLOPS]
mv_mul(CRS)	float	1000	1000	0.0254819	0.00635745
mv_mul(CRS)	float	2000	2000	0.000898339	0.360666
mv_mul(CRS)	float	4000	4000	0.000911447	0.710957
mv_mul(CRS)	float	8000	8000	0.000932065	1.39046
mv_mul(CRS)	float	16000	16000	0.000987981	2.62353
mv_mul(CRS)	float	32000	32000	0.00177783	2.91591
mv_mul(CRS)	float	64000	64000	0.00249442	4.15648
mv_mul(CRS)	double	1000	1000	0.000896062	0.180791
mv_mul(CRS)	double	2000	2000	0.00090415	0.358348
mv_mul(CRS)	double	4000	4000	0.000934451	0.693456
mv_mul(CRS)	double	8000	8000	0.000896616	1.44543
mv_mul(CRS)	double	16000	16000	0.00145146	1.78578
mv_mul(CRS)	double	32000	32000	0.00193327	2.68147
mv_mul(CRS)	double	64000	64000	0.00290628	3.56744
