func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(Dense)	float	1000	1000	0.00229202	0.436297	3.49037
mscal(Dense)	float	2000	2000	0.00602984	0.663367	5.30694
mscal(Dense)	float	3000	3000	0.0120644	0.745996	5.96797
mscal(Dense)	float	4000	4000	0.0187887	0.851574	6.81259
mscal(Dense)	float	5000	5000	0.0267485	0.934633	7.47707
mscal(Dense)	double	1000	1000	0.00214715	0.465734	7.45175
mscal(Dense)	double	2000	2000	0.00612866	0.652671	10.4427
mscal(Dense)	double	3000	3000	0.0128632	0.69967	11.1947
mscal(Dense)	double	4000	4000	0.0222309	0.719718	11.5155
mscal(Dense)	double	5000	5000	0.0343494	0.727814	11.645
