func	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	float	1000	1000	1000	0.00715754	279.425
matmul(Dense,Dense,Dense)	float	1500	1500	1500	0.0131194	514.504
matmul(Dense,Dense,Dense)	float	2000	2000	2000	0.0310527	515.254
matmul(Dense,Dense,Dense)	float	2500	2500	2500	0.0604299	517.128
matmul(Dense,Dense,Dense)	float	3000	3000	3000	0.10292	524.681
matmul(Dense,Dense,Dense)	float	3500	3500	3500	0.160703	533.594
matmul(Dense,Dense,Dense)	float	4000	4000	4000	0.238927	535.729
matmul(Dense,Dense,Dense)	float	4500	4500	4500	0.329433	553.223
matmul(Dense,Dense,Dense)	float	5000	5000	5000	0.451877	553.248
matmul(Dense,Dense,Dense)	double	1000	1000	1000	0.00931849	214.627
matmul(Dense,Dense,Dense)	double	1500	1500	1500	0.0280649	240.514
matmul(Dense,Dense,Dense)	double	2000	2000	2000	0.0626988	255.188
matmul(Dense,Dense,Dense)	double	2500	2500	2500	0.116667	267.857
matmul(Dense,Dense,Dense)	double	3000	3000	3000	0.195619	276.046
matmul(Dense,Dense,Dense)	double	3500	3500	3500	0.307415	278.939
matmul(Dense,Dense,Dense)	double	4000	4000	4000	0.459218	278.734
matmul(Dense,Dense,Dense)	double	4500	4500	4500	0.66246	275.111
matmul(Dense,Dense,Dense)	double	5000	5000	5000	0.909981	274.731
