func	prec	M	N	time[sec]
convert(COO,CRS)	float	1000	1000	0.000657506
convert(COO,CRS)	float	2000	2000	0.00132191
convert(COO,CRS)	float	4000	4000	0.00223945
convert(COO,CRS)	float	8000	8000	0.00506288
convert(COO,CRS)	float	16000	16000	0.00998513
convert(COO,CRS)	float	32000	32000	0.0245141
convert(COO,CRS)	float	64000	64000	0.0472395
convert(COO,CRS)	double	1000	1000	0.000370169
convert(COO,CRS)	double	2000	2000	0.000755501
convert(COO,CRS)	double	4000	4000	0.00162053
convert(COO,CRS)	double	8000	8000	0.00419464
convert(COO,CRS)	double	16000	16000	0.0112047
convert(COO,CRS)	double	32000	32000	0.0306792
convert(COO,CRS)	double	64000	64000	0.0665007
