func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
matadd(CRS,CRS,CRS)	float	1000	1000	0.00145766	0.111137	0.666821
matadd(CRS,CRS,CRS)	float	2000	2000	0.00202029	0.160373	0.962237
matadd(CRS,CRS,CRS)	float	4000	4000	0.00311591	0.207965	1.24779
matadd(CRS,CRS,CRS)	float	8000	8000	0.00533343	0.242996	1.45797
matadd(CRS,CRS,CRS)	float	16000	16000	0.00891678	0.290688	1.74413
matadd(CRS,CRS,CRS)	float	32000	32000	0.0153408	0.337923	2.02754
matadd(CRS,CRS,CRS)	float	64000	64000	0.0285665	0.362942	2.17765
matadd(CRS,CRS,CRS)	double	1000	1000	0.00130104	0.124516	1.49419
matadd(CRS,CRS,CRS)	double	2000	2000	0.00196594	0.164807	1.97768
matadd(CRS,CRS,CRS)	double	4000	4000	0.00300555	0.215601	2.58722
matadd(CRS,CRS,CRS)	double	8000	8000	0.00518862	0.249777	2.99733
matadd(CRS,CRS,CRS)	double	16000	16000	0.00978036	0.265021	3.18025
matadd(CRS,CRS,CRS)	double	32000	32000	0.018348	0.282537	3.39044
matadd(CRS,CRS,CRS)	double	64000	64000	0.0360573	0.287543	3.45051
