func	prec	M	N	time[sec]	perf[GFLOPS]
matvec(CRS)	float	1000	1000	0.0247829	0.00653676
matvec(CRS)	float	2000	2000	4.28005e-05	7.57001
matvec(CRS)	float	4000	4000	7.49898e-05	8.64118
matvec(CRS)	float	8000	8000	0.000134771	9.61634
matvec(CRS)	float	16000	16000	0.000256712	10.0969
matvec(CRS)	float	32000	32000	0.000506994	10.225
matvec(CRS)	float	64000	64000	0.00100991	10.2663
matvec(CRS)	double	1000	1000	3.84202e-05	4.21653
matvec(CRS)	double	2000	2000	5.88136e-05	5.50893
matvec(CRS)	double	4000	4000	0.000102994	6.29164
matvec(CRS)	double	8000	8000	0.000185085	7.00218
matvec(CRS)	double	16000	16000	0.000344375	7.52668
matvec(CRS)	double	32000	32000	0.000660639	7.84695
matvec(CRS)	double	64000	64000	0.00129434	8.01024
